Date,Close,Volume,10k Earnings Sentiment,Comp 1,Comp 2,S&P Price Change,Interest rate change
7/10/2017,29.129999,5717600,0.151,-0.0027,-0.0044,0.00413,
7/11/2017,29.1,7745400,0.151,-0.0099,-0.0056,0.00413,
7/12/2017,29.33,3924900,0.151,0.00236,0.00625,0.0041,
7/13/2017,29.360001,4742300,0.151,0.00779,0.00458,0.00409,
7/14/2017,29.48,4252700,0.151,-0.011,-0.0026,0.00407,
7/17/2017,29.65,3948400,0.151,-0.0051,-0.0031,0.00407,
7/18/2017,29.33,4653400,0.151,0.00165,-0.0005,0.00407,
7/19/2017,29.51,5228500,0.151,0.00255,0.00164,0.00405,
7/20/2017,29.530001,5707000,0.151,-0.0011,0.00376,0.00405,
7/21/2017,30.870001,11172300,0.151,-0.0129,0.0189,0.00405,
7/24/2017,30.74,5999800,0.151,0.00185,0,0.00405,
7/25/2017,30.889999,5911600,0.151,0.01456,0.02015,0.00404,
7/26/2017,30.57,6270400,0.151,-0.0027,-0.0103,0.00404,
7/27/2017,30.34,6599700,0.151,-0.0036,-0.0426,0.00405,
7/28/2017,29.940001,8419200,0.151,-0.0258,-0.003,0.00405,
7/31/2017,30.32,12946000,0.151,0.01201,0.01128,0.00405,
8/1/2017,29.879999,8219200,0.151,0.0026,-0.0054,0.00404,
8/2/2017,30.059999,6297900,0.151,-0.0085,0.0028,0.00404,
8/3/2017,29.91,6989300,0.151,-0.0041,-0.0053,0.00405,
8/4/2017,29.870001,7284100,0.151,-0.0105,0.00959,0.00404,
8/7/2017,30.4,5164200,0.151,-0.0057,0.00573,0.00403,
8/8/2017,30.719999,8043200,0.151,0.00324,0.00928,0.00404,
8/9/2017,30.25,5204200,0.151,0.00152,-0.0113,0.00404,
8/10/2017,29.32,9816200,0.151,-0.0159,-0.0189,0.0041,
8/11/2017,29.200001,6668000,0.151,-0.0002,-0.0077,0.0041,
8/14/2017,29.639999,5917600,0.151,0.01733,0.01442,0.00406,
8/15/2017,30.99,13489300,0.151,0.00019,0.02264,0.00406,
8/16/2017,30.870001,7408500,0.151,-0.003,-0.0026,0.00405,
8/17/2017,30.1,7398500,0.151,-0.0169,-0.0293,0.00411,
8/18/2017,30.07,5534200,0.151,-0.0023,-0.0078,0.00412,
8/21/2017,30.26,4640200,0.151,0.00271,-0.0027,0.00412,
8/22/2017,30.34,6259800,0.151,0.00772,0.00388,0.00407,
8/23/2017,30.309999,4292300,0.151,-0.0036,-0.0032,0.00409,
8/24/2017,30.459999,3220900,0.151,0.0025,0.0027,0.0041,
8/25/2017,30.540001,2908000,0.151,-0.0075,0.0037,0.00409,
8/28/2017,30.290001,3713400,0.151,-0.0027,-0.0099,0.00409,
8/29/2017,30.120001,5722700,0.151,-0.0041,-0.011,0.00408,
8/30/2017,30.66,5629800,0.151,-0.0012,0.0089,0.00406,
8/31/2017,30.790001,5132600,0.151,-0.0056,-0.0003,0.00404,
9/1/2017,30.92,3076500,0.151,-0.002,0.01086,0.00403,
9/5/2017,29.870001,6260200,0.151,-0.0171,-0.0193,0.00406,
9/6/2017,29.959999,5911900,0.151,-0.0044,0.00719,0.00405,
9/7/2017,29.059999,5625200,0.151,-0.004,-0.0131,0.00405,
9/8/2017,28.549999,8560000,0.151,-0.002,-0.0074,0.00406,
9/11/2017,29.15,6050400,0.151,0.02178,0.00919,0.00401,
9/12/2017,29.190001,5179800,0.151,0.01796,-0.0034,0.004,
9/13/2017,29.32,7166700,0.151,-0.0021,0.02242,0.004,
9/14/2017,28.700001,7550300,0.151,-0.0033,-0.0108,0.004,
9/15/2017,29.02,11003600,0.151,0.00721,0.0133,0.00401,
9/18/2017,29.26,5682900,0.151,0.02033,0.0138,0.004,
9/19/2017,29.09,5754300,0.151,0.01233,0.00398,0.004,
9/20/2017,29,6347400,0.151,0.00731,-0.0025,0.004,
9/21/2017,28.889999,5281800,0.151,0.00577,0.00265,0.00401,
9/22/2017,29.469999,6320700,0.151,0.00351,0.01504,0.00401,
