,Date,close30d,earnings30d,comp130d,comp230d,s&p30d
579,12/30/2016,35.50033357,0.127,0.001488333,0.002742333,0.004482333
580,1/3/2017,35.62233353,0.127,0.002229,0.003397,0.004478333
581,1/4/2017,35.74333357,0.1278,0.002245,0.003304667,0.004474
582,1/5/2017,35.88700027,0.1286,0.002065,0.003743333,0.004468333
583,1/6/2017,35.99666697,0.1294,0.001991667,0.003077,0.004464333
584,1/9/2017,36.1020003,0.1302,0.001844333,0.002428667,0.00446
585,1/10/2017,36.16666707,0.131,0.001397667,0.001669333,0.004456333
586,1/11/2017,36.24200033,0.1318,0.001337333,0.001834,0.004453333
587,1/12/2017,36.3240003,0.1326,0.002107333,0.001940667,0.004448667
588,1/13/2017,36.40166703,0.1334,0.001743,0.001847333,0.004444667
589,1/17/2017,36.46033367,0.1342,0.001557,0.001937,0.00444
590,1/18/2017,36.47500027,0.135,-0.000260667,0.000974333,0.004435667
591,1/19/2017,36.52200027,0.1358,0.000509667,0.001587,0.004431
592,1/20/2017,36.53866693,0.1366,0.000221,0.001323,0.004428
593,1/23/2017,36.55800033,0.1374,-0.000215667,0.000958667,0.004424667
594,1/24/2017,36.54433367,0.1382,-0.001750333,-0.001057333,0.004423667
595,1/25/2017,36.52533367,0.139,-0.001479667,-0.000968667,0.004422
596,1/26/2017,36.50466703,0.1398,-0.000223,-0.001645,0.004420333
597,1/27/2017,36.52966703,0.1406,0.0009,-0.001054333,0.004418333
598,1/30/2017,36.54166707,0.1414,0.000520667,-0.001268667,0.004417667
599,1/31/2017,36.5593338,0.1422,0.000900667,-0.000710333,0.004416333
600,2/1/2017,36.5223338,0.143,0.000750667,-0.001457333,0.004416
601,2/2/2017,36.50133377,0.1438,0.00041,-0.001344,0.004414333
602,2/3/2017,36.4493337,0.1446,0.000386667,-0.001915,0.004413
603,2/6/2017,36.4243337,0.1454,0.000764,-0.00174,0.004411
604,2/7/2017,36.40266713,0.1462,0.000577333,-0.00164,0.004409
605,2/8/2017,36.3750004,0.147,0.00043,-0.001803333,0.004406667
606,2/9/2017,36.33500037,0.1478,-0.000115667,-0.002074667,0.004404333
607,2/10/2017,36.31800043,0.1486,0.00055,-0.001771,0.004401667
608,2/13/2017,36.31733373,0.1494,0.001003,-0.001417667,0.004397
609,2/14/2017,36.33600047,0.1502,0.001422,-0.001023,0.004391667
610,2/15/2017,36.37100047,0.151,0.001783667,-0.000526,0.004385333
611,2/16/2017,36.37833373,0.151,0.001573,-0.000789,0.004379333
612,2/17/2017,36.34233367,0.151,0.0013,-0.001380333,0.004374333
613,2/21/2017,36.334667,0.151,0.0018,-0.000694,0.004368667
614,2/22/2017,36.325667,0.151,0.001975,-0.000314,0.004363
615,2/23/2017,36.3216669,0.151,0.002521333,-0.000167333,0.004356667
616,2/24/2017,36.31066697,0.151,0.002362,-0.000259667,0.004350333
617,2/27/2017,36.31466693,0.151,0.001865333,-0.000159667,0.004344333
618,2/28/2017,36.34166687,0.151,0.002192667,0.000189,0.004338
619,3/1/2017,36.33900027,0.151,0.001594,-0.000201333,0.004332333
620,3/2/2017,36.3850003,0.151,0.003582667,0.001209,0.004324
621,3/3/2017,36.3873336,0.151,0.002709,0.000373,0.004317
622,3/6/2017,36.4020002,0.151,0.002621,0.000702333,0.004309
623,3/7/2017,36.3800002,0.151,0.002161667,0.000337,0.004302333
624,3/8/2017,36.37433347,0.151,0.002481667,0.000849,0.004295667
625,3/9/2017,36.36200003,0.151,0.002155333,0.000738667,0.004290333
626,3/10/2017,36.35999997,0.151,0.001266,0.001025333,0.004285667
627,3/13/2017,36.33733327,0.151,0.001021667,0.001065667,0.004280667
628,3/14/2017,36.3173332,0.151,0.001281667,0.001112333,0.004275333
629,3/15/2017,36.29899977,0.151,0.001615667,0.001061667,0.004269667
630,3/16/2017,36.29833307,0.151,0.001437,0.000685,0.004262333
631,3/17/2017,36.29266647,0.151,0.002033333,0.001106333,0.004255667
632,3/20/2017,36.2853331,0.151,0.001763333,0.001126333,0.00425
633,3/21/2017,36.2083332,0.151,0.000264667,0.000286333,0.004245333
634,3/22/2017,36.09399983,0.151,-0.000345333,-0.000767,0.004242333
635,3/23/2017,35.99499993,0.151,-0.000532,-0.000360667,0.004239
636,3/24/2017,35.91699993,0.151,-0.000158667,-0.000307333,0.004236
637,3/27/2017,35.8109999,0.151,-0.000467667,-0.000797,0.004234
638,3/28/2017,35.69499993,0.151,-0.000807333,-0.000940333,0.004232667
639,3/29/2017,35.5953332,0.151,-0.000593333,-0.000759333,0.004231
640,3/30/2017,35.47733317,0.151,-0.001292333,-0.001481,0.00423
641,3/31/2017,35.3823332,0.151,-0.001278667,-0.001021333,0.004229
642,4/3/2017,35.29733323,0.151,-0.001378667,-0.001114667,0.004228333
643,4/4/2017,35.19999983,0.151,-0.001465333,-0.001544333,0.004228333
644,4/5/2017,35.09566647,0.151,-0.001730333,-0.001981,0.004229
645,4/6/2017,34.9783331,0.151,-0.001926667,-0.002387667,0.00423
